dataset,configuration_id,base_configuration_id,feature_family,feature_capacity,feature_params,classifier,classifier_family,classifier_capacity,classifier_params,train_fraction,subset_seed,protocol_hash
UT_HAR,time_stats__logistic_regression__large__frac_0.20,time_stats__logistic_regression__large,time_stats,large,"{""segment_bins"": 4, ""statistics"": [""mean"", ""std"", ""min"", ""max"", ""median"", ""iqr""]}",logistic_regression,linear,large,"{""C"": 10.0, ""max_iter"": 5000}",0.2,3407,8a3568eb591e
UT_HAR,time_stats__logistic_regression__large__frac_0.40,time_stats__logistic_regression__large,time_stats,large,"{""segment_bins"": 4, ""statistics"": [""mean"", ""std"", ""min"", ""max"", ""median"", ""iqr""]}",logistic_regression,linear,large,"{""C"": 10.0, ""max_iter"": 5000}",0.4,3407,8a3568eb591e
UT_HAR,time_stats__logistic_regression__large__frac_0.60,time_stats__logistic_regression__large,time_stats,large,"{""segment_bins"": 4, ""statistics"": [""mean"", ""std"", ""min"", ""max"", ""median"", ""iqr""]}",logistic_regression,linear,large,"{""C"": 10.0, ""max_iter"": 5000}",0.6,3407,8a3568eb591e
UT_HAR,time_stats__logistic_regression__large__frac_0.80,time_stats__logistic_regression__large,time_stats,large,"{""segment_bins"": 4, ""statistics"": [""mean"", ""std"", ""min"", ""max"", ""median"", ""iqr""]}",logistic_regression,linear,large,"{""C"": 10.0, ""max_iter"": 5000}",0.8,3407,8a3568eb591e
UT_HAR,time_stats__logistic_regression__large__frac_1.00,time_stats__logistic_regression__large,time_stats,large,"{""segment_bins"": 4, ""statistics"": [""mean"", ""std"", ""min"", ""max"", ""median"", ""iqr""]}",logistic_regression,linear,large,"{""C"": 10.0, ""max_iter"": 5000}",1.0,3407,8a3568eb591e
UT_HAR,time_stats__linear_svm__small__frac_0.20,time_stats__linear_svm__small,time_stats,small,"{""segment_bins"": 1, ""statistics"": [""mean"", ""std"", ""min"", ""max"", ""median"", ""iqr""]}",linear_svm,linear_svm,small,"{""C"": 0.1}",0.2,3407,8a3568eb591e
UT_HAR,time_stats__linear_svm__small__frac_0.40,time_stats__linear_svm__small,time_stats,small,"{""segment_bins"": 1, ""statistics"": [""mean"", ""std"", ""min"", ""max"", ""median"", ""iqr""]}",linear_svm,linear_svm,small,"{""C"": 0.1}",0.4,3407,8a3568eb591e
UT_HAR,time_stats__linear_svm__small__frac_0.60,time_stats__linear_svm__small,time_stats,small,"{""segment_bins"": 1, ""statistics"": [""mean"", ""std"", ""min"", ""max"", ""median"", ""iqr""]}",linear_svm,linear_svm,small,"{""C"": 0.1}",0.6,3407,8a3568eb591e
UT_HAR,time_stats__linear_svm__small__frac_0.80,time_stats__linear_svm__small,time_stats,small,"{""segment_bins"": 1, ""statistics"": [""mean"", ""std"", ""min"", ""max"", ""median"", ""iqr""]}",linear_svm,linear_svm,small,"{""C"": 0.1}",0.8,3407,8a3568eb591e
UT_HAR,time_stats__linear_svm__small__frac_1.00,time_stats__linear_svm__small,time_stats,small,"{""segment_bins"": 1, ""statistics"": [""mean"", ""std"", ""min"", ""max"", ""median"", ""iqr""]}",linear_svm,linear_svm,small,"{""C"": 0.1}",1.0,3407,8a3568eb591e
UT_HAR,time_stats__linear_svm__medium__frac_0.20,time_stats__linear_svm__medium,time_stats,medium,"{""segment_bins"": 2, ""statistics"": [""mean"", ""std"", ""min"", ""max"", ""median"", ""iqr""]}",linear_svm,linear_svm,medium,"{""C"": 1.0}",0.2,3407,8a3568eb591e
UT_HAR,time_stats__linear_svm__medium__frac_0.40,time_stats__linear_svm__medium,time_stats,medium,"{""segment_bins"": 2, ""statistics"": [""mean"", ""std"", ""min"", ""max"", ""median"", ""iqr""]}",linear_svm,linear_svm,medium,"{""C"": 1.0}",0.4,3407,8a3568eb591e
UT_HAR,time_stats__linear_svm__medium__frac_0.60,time_stats__linear_svm__medium,time_stats,medium,"{""segment_bins"": 2, ""statistics"": [""mean"", ""std"", ""min"", ""max"", ""median"", ""iqr""]}",linear_svm,linear_svm,medium,"{""C"": 1.0}",0.6,3407,8a3568eb591e
UT_HAR,time_stats__linear_svm__medium__frac_0.80,time_stats__linear_svm__medium,time_stats,medium,"{""segment_bins"": 2, ""statistics"": [""mean"", ""std"", ""min"", ""max"", ""median"", ""iqr""]}",linear_svm,linear_svm,medium,"{""C"": 1.0}",0.8,3407,8a3568eb591e
UT_HAR,time_stats__linear_svm__medium__frac_1.00,time_stats__linear_svm__medium,time_stats,medium,"{""segment_bins"": 2, ""statistics"": [""mean"", ""std"", ""min"", ""max"", ""median"", ""iqr""]}",linear_svm,linear_svm,medium,"{""C"": 1.0}",1.0,3407,8a3568eb591e
UT_HAR,time_stats__linear_svm__large__frac_0.20,time_stats__linear_svm__large,time_stats,large,"{""segment_bins"": 4, ""statistics"": [""mean"", ""std"", ""min"", ""max"", ""median"", ""iqr""]}",linear_svm,linear_svm,large,"{""C"": 10.0}",0.2,3407,8a3568eb591e
UT_HAR,time_stats__linear_svm__large__frac_0.40,time_stats__linear_svm__large,time_stats,large,"{""segment_bins"": 4, ""statistics"": [""mean"", ""std"", ""min"", ""max"", ""median"", ""iqr""]}",linear_svm,linear_svm,large,"{""C"": 10.0}",0.4,3407,8a3568eb591e
UT_HAR,time_stats__linear_svm__large__frac_0.60,time_stats__linear_svm__large,time_stats,large,"{""segment_bins"": 4, ""statistics"": [""mean"", ""std"", ""min"", ""max"", ""median"", ""iqr""]}",linear_svm,linear_svm,large,"{""C"": 10.0}",0.6,3407,8a3568eb591e
UT_HAR,time_stats__linear_svm__large__frac_0.80,time_stats__linear_svm__large,time_stats,large,"{""segment_bins"": 4, ""statistics"": [""mean"", ""std"", ""min"", ""max"", ""median"", ""iqr""]}",linear_svm,linear_svm,large,"{""C"": 10.0}",0.8,3407,8a3568eb591e
UT_HAR,time_stats__linear_svm__large__frac_1.00,time_stats__linear_svm__large,time_stats,large,"{""segment_bins"": 4, ""statistics"": [""mean"", ""std"", ""min"", ""max"", ""median"", ""iqr""]}",linear_svm,linear_svm,large,"{""C"": 10.0}",1.0,3407,8a3568eb591e
UT_HAR,time_stats__rbf_svm__small__frac_0.20,time_stats__rbf_svm__small,time_stats,small,"{""segment_bins"": 1, ""statistics"": [""mean"", ""std"", ""min"", ""max"", ""median"", ""iqr""]}",rbf_svm,kernel_svm,small,"{""C"": 0.5, ""gamma"": ""scale""}",0.2,3407,8a3568eb591e
UT_HAR,time_stats__rbf_svm__small__frac_0.40,time_stats__rbf_svm__small,time_stats,small,"{""segment_bins"": 1, ""statistics"": [""mean"", ""std"", ""min"", ""max"", ""median"", ""iqr""]}",rbf_svm,kernel_svm,small,"{""C"": 0.5, ""gamma"": ""scale""}",0.4,3407,8a3568eb591e
UT_HAR,time_stats__rbf_svm__small__frac_0.60,time_stats__rbf_svm__small,time_stats,small,"{""segment_bins"": 1, ""statistics"": [""mean"", ""std"", ""min"", ""max"", ""median"", ""iqr""]}",rbf_svm,kernel_svm,small,"{""C"": 0.5, ""gamma"": ""scale""}",0.6,3407,8a3568eb591e
UT_HAR,time_stats__rbf_svm__small__frac_0.80,time_stats__rbf_svm__small,time_stats,small,"{""segment_bins"": 1, ""statistics"": [""mean"", ""std"", ""min"", ""max"", ""median"", ""iqr""]}",rbf_svm,kernel_svm,small,"{""C"": 0.5, ""gamma"": ""scale""}",0.8,3407,8a3568eb591e
UT_HAR,time_stats__rbf_svm__small__frac_1.00,time_stats__rbf_svm__small,time_stats,small,"{""segment_bins"": 1, ""statistics"": [""mean"", ""std"", ""min"", ""max"", ""median"", ""iqr""]}",rbf_svm,kernel_svm,small,"{""C"": 0.5, ""gamma"": ""scale""}",1.0,3407,8a3568eb591e
UT_HAR,time_stats__rbf_svm__medium__frac_0.20,time_stats__rbf_svm__medium,time_stats,medium,"{""segment_bins"": 2, ""statistics"": [""mean"", ""std"", ""min"", ""max"", ""median"", ""iqr""]}",rbf_svm,kernel_svm,medium,"{""C"": 2.0, ""gamma"": ""scale""}",0.2,3407,8a3568eb591e
UT_HAR,time_stats__rbf_svm__medium__frac_0.40,time_stats__rbf_svm__medium,time_stats,medium,"{""segment_bins"": 2, ""statistics"": [""mean"", ""std"", ""min"", ""max"", ""median"", ""iqr""]}",rbf_svm,kernel_svm,medium,"{""C"": 2.0, ""gamma"": ""scale""}",0.4,3407,8a3568eb591e
UT_HAR,time_stats__rbf_svm__medium__frac_0.60,time_stats__rbf_svm__medium,time_stats,medium,"{""segment_bins"": 2, ""statistics"": [""mean"", ""std"", ""min"", ""max"", ""median"", ""iqr""]}",rbf_svm,kernel_svm,medium,"{""C"": 2.0, ""gamma"": ""scale""}",0.6,3407,8a3568eb591e
UT_HAR,time_stats__rbf_svm__medium__frac_0.80,time_stats__rbf_svm__medium,time_stats,medium,"{""segment_bins"": 2, ""statistics"": [""mean"", ""std"", ""min"", ""max"", ""median"", ""iqr""]}",rbf_svm,kernel_svm,medium,"{""C"": 2.0, ""gamma"": ""scale""}",0.8,3407,8a3568eb591e
UT_HAR,time_stats__rbf_svm__medium__frac_1.00,time_stats__rbf_svm__medium,time_stats,medium,"{""segment_bins"": 2, ""statistics"": [""mean"", ""std"", ""min"", ""max"", ""median"", ""iqr""]}",rbf_svm,kernel_svm,medium,"{""C"": 2.0, ""gamma"": ""scale""}",1.0,3407,8a3568eb591e
UT_HAR,time_stats__rbf_svm__large__frac_0.20,time_stats__rbf_svm__large,time_stats,large,"{""segment_bins"": 4, ""statistics"": [""mean"", ""std"", ""min"", ""max"", ""median"", ""iqr""]}",rbf_svm,kernel_svm,large,"{""C"": 8.0, ""gamma"": ""auto""}",0.2,3407,8a3568eb591e
UT_HAR,time_stats__rbf_svm__large__frac_0.40,time_stats__rbf_svm__large,time_stats,large,"{""segment_bins"": 4, ""statistics"": [""mean"", ""std"", ""min"", ""max"", ""median"", ""iqr""]}",rbf_svm,kernel_svm,large,"{""C"": 8.0, ""gamma"": ""auto""}",0.4,3407,8a3568eb591e
UT_HAR,time_stats__rbf_svm__large__frac_0.60,time_stats__rbf_svm__large,time_stats,large,"{""segment_bins"": 4, ""statistics"": [""mean"", ""std"", ""min"", ""max"", ""median"", ""iqr""]}",rbf_svm,kernel_svm,large,"{""C"": 8.0, ""gamma"": ""auto""}",0.6,3407,8a3568eb591e
UT_HAR,time_stats__rbf_svm__large__frac_0.80,time_stats__rbf_svm__large,time_stats,large,"{""segment_bins"": 4, ""statistics"": [""mean"", ""std"", ""min"", ""max"", ""median"", ""iqr""]}",rbf_svm,kernel_svm,large,"{""C"": 8.0, ""gamma"": ""auto""}",0.8,3407,8a3568eb591e
UT_HAR,time_stats__rbf_svm__large__frac_1.00,time_stats__rbf_svm__large,time_stats,large,"{""segment_bins"": 4, ""statistics"": [""mean"", ""std"", ""min"", ""max"", ""median"", ""iqr""]}",rbf_svm,kernel_svm,large,"{""C"": 8.0, ""gamma"": ""auto""}",1.0,3407,8a3568eb591e
UT_HAR,time_stats__knn__small__frac_0.20,time_stats__knn__small,time_stats,small,"{""segment_bins"": 1, ""statistics"": [""mean"", ""std"", ""min"", ""max"", ""median"", ""iqr""]}",knn,instance_based,small,"{""n_neighbors"": 11, ""weights"": ""uniform""}",0.2,3407,8a3568eb591e
UT_HAR,time_stats__knn__small__frac_0.40,time_stats__knn__small,time_stats,small,"{""segment_bins"": 1, ""statistics"": [""mean"", ""std"", ""min"", ""max"", ""median"", ""iqr""]}",knn,instance_based,small,"{""n_neighbors"": 11, ""weights"": ""uniform""}",0.4,3407,8a3568eb591e
UT_HAR,time_stats__knn__small__frac_0.60,time_stats__knn__small,time_stats,small,"{""segment_bins"": 1, ""statistics"": [""mean"", ""std"", ""min"", ""max"", ""median"", ""iqr""]}",knn,instance_based,small,"{""n_neighbors"": 11, ""weights"": ""uniform""}",0.6,3407,8a3568eb591e
UT_HAR,time_stats__knn__small__frac_0.80,time_stats__knn__small,time_stats,small,"{""segment_bins"": 1, ""statistics"": [""mean"", ""std"", ""min"", ""max"", ""median"", ""iqr""]}",knn,instance_based,small,"{""n_neighbors"": 11, ""weights"": ""uniform""}",0.8,3407,8a3568eb591e
UT_HAR,time_stats__knn__small__frac_1.00,time_stats__knn__small,time_stats,small,"{""segment_bins"": 1, ""statistics"": [""mean"", ""std"", ""min"", ""max"", ""median"", ""iqr""]}",knn,instance_based,small,"{""n_neighbors"": 11, ""weights"": ""uniform""}",1.0,3407,8a3568eb591e
UT_HAR,time_stats__knn__medium__frac_0.20,time_stats__knn__medium,time_stats,medium,"{""segment_bins"": 2, ""statistics"": [""mean"", ""std"", ""min"", ""max"", ""median"", ""iqr""]}",knn,instance_based,medium,"{""n_neighbors"": 7, ""weights"": ""distance""}",0.2,3407,8a3568eb591e
UT_HAR,time_stats__knn__medium__frac_0.40,time_stats__knn__medium,time_stats,medium,"{""segment_bins"": 2, ""statistics"": [""mean"", ""std"", ""min"", ""max"", ""median"", ""iqr""]}",knn,instance_based,medium,"{""n_neighbors"": 7, ""weights"": ""distance""}",0.4,3407,8a3568eb591e
UT_HAR,time_stats__knn__medium__frac_0.60,time_stats__knn__medium,time_stats,medium,"{""segment_bins"": 2, ""statistics"": [""mean"", ""std"", ""min"", ""max"", ""median"", ""iqr""]}",knn,instance_based,medium,"{""n_neighbors"": 7, ""weights"": ""distance""}",0.6,3407,8a3568eb591e
UT_HAR,time_stats__knn__medium__frac_0.80,time_stats__knn__medium,time_stats,medium,"{""segment_bins"": 2, ""statistics"": [""mean"", ""std"", ""min"", ""max"", ""median"", ""iqr""]}",knn,instance_based,medium,"{""n_neighbors"": 7, ""weights"": ""distance""}",0.8,3407,8a3568eb591e
UT_HAR,time_stats__knn__medium__frac_1.00,time_stats__knn__medium,time_stats,medium,"{""segment_bins"": 2, ""statistics"": [""mean"", ""std"", ""min"", ""max"", ""median"", ""iqr""]}",knn,instance_based,medium,"{""n_neighbors"": 7, ""weights"": ""distance""}",1.0,3407,8a3568eb591e
UT_HAR,time_stats__knn__large__frac_0.20,time_stats__knn__large,time_stats,large,"{""segment_bins"": 4, ""statistics"": [""mean"", ""std"", ""min"", ""max"", ""median"", ""iqr""]}",knn,instance_based,large,"{""n_neighbors"": 3, ""weights"": ""distance""}",0.2,3407,8a3568eb591e
UT_HAR,time_stats__knn__large__frac_0.40,time_stats__knn__large,time_stats,large,"{""segment_bins"": 4, ""statistics"": [""mean"", ""std"", ""min"", ""max"", ""median"", ""iqr""]}",knn,instance_based,large,"{""n_neighbors"": 3, ""weights"": ""distance""}",0.4,3407,8a3568eb591e
UT_HAR,time_stats__knn__large__frac_0.60,time_stats__knn__large,time_stats,large,"{""segment_bins"": 4, ""statistics"": [""mean"", ""std"", ""min"", ""max"", ""median"", ""iqr""]}",knn,instance_based,large,"{""n_neighbors"": 3, ""weights"": ""distance""}",0.6,3407,8a3568eb591e
UT_HAR,time_stats__knn__large__frac_0.80,time_stats__knn__large,time_stats,large,"{""segment_bins"": 4, ""statistics"": [""mean"", ""std"", ""min"", ""max"", ""median"", ""iqr""]}",knn,instance_based,large,"{""n_neighbors"": 3, ""weights"": ""distance""}",0.8,3407,8a3568eb591e
UT_HAR,time_stats__knn__large__frac_1.00,time_stats__knn__large,time_stats,large,"{""segment_bins"": 4, ""statistics"": [""mean"", ""std"", ""min"", ""max"", ""median"", ""iqr""]}",knn,instance_based,large,"{""n_neighbors"": 3, ""weights"": ""distance""}",1.0,3407,8a3568eb591e
UT_HAR,time_stats__random_forest__small__frac_0.20,time_stats__random_forest__small,time_stats,small,"{""segment_bins"": 1, ""statistics"": [""mean"", ""std"", ""min"", ""max"", ""median"", ""iqr""]}",random_forest,tree_ensemble,small,"{""max_depth"": 8, ""n_estimators"": 100}",0.2,3407,8a3568eb591e
UT_HAR,time_stats__random_forest__small__frac_0.40,time_stats__random_forest__small,time_stats,small,"{""segment_bins"": 1, ""statistics"": [""mean"", ""std"", ""min"", ""max"", ""median"", ""iqr""]}",random_forest,tree_ensemble,small,"{""max_depth"": 8, ""n_estimators"": 100}",0.4,3407,8a3568eb591e
UT_HAR,time_stats__random_forest__small__frac_0.60,time_stats__random_forest__small,time_stats,small,"{""segment_bins"": 1, ""statistics"": [""mean"", ""std"", ""min"", ""max"", ""median"", ""iqr""]}",random_forest,tree_ensemble,small,"{""max_depth"": 8, ""n_estimators"": 100}",0.6,3407,8a3568eb591e
UT_HAR,time_stats__random_forest__small__frac_0.80,time_stats__random_forest__small,time_stats,small,"{""segment_bins"": 1, ""statistics"": [""mean"", ""std"", ""min"", ""max"", ""median"", ""iqr""]}",random_forest,tree_ensemble,small,"{""max_depth"": 8, ""n_estimators"": 100}",0.8,3407,8a3568eb591e
UT_HAR,time_stats__random_forest__small__frac_1.00,time_stats__random_forest__small,time_stats,small,"{""segment_bins"": 1, ""statistics"": [""mean"", ""std"", ""min"", ""max"", ""median"", ""iqr""]}",random_forest,tree_ensemble,small,"{""max_depth"": 8, ""n_estimators"": 100}",1.0,3407,8a3568eb591e
UT_HAR,time_stats__random_forest__medium__frac_0.20,time_stats__random_forest__medium,time_stats,medium,"{""segment_bins"": 2, ""statistics"": [""mean"", ""std"", ""min"", ""max"", ""median"", ""iqr""]}",random_forest,tree_ensemble,medium,"{""max_depth"": 16, ""n_estimators"": 300}",0.2,3407,8a3568eb591e
UT_HAR,time_stats__random_forest__medium__frac_0.40,time_stats__random_forest__medium,time_stats,medium,"{""segment_bins"": 2, ""statistics"": [""mean"", ""std"", ""min"", ""max"", ""median"", ""iqr""]}",random_forest,tree_ensemble,medium,"{""max_depth"": 16, ""n_estimators"": 300}",0.4,3407,8a3568eb591e
UT_HAR,time_stats__random_forest__medium__frac_0.60,time_stats__random_forest__medium,time_stats,medium,"{""segment_bins"": 2, ""statistics"": [""mean"", ""std"", ""min"", ""max"", ""median"", ""iqr""]}",random_forest,tree_ensemble,medium,"{""max_depth"": 16, ""n_estimators"": 300}",0.6,3407,8a3568eb591e
UT_HAR,time_stats__random_forest__medium__frac_0.80,time_stats__random_forest__medium,time_stats,medium,"{""segment_bins"": 2, ""statistics"": [""mean"", ""std"", ""min"", ""max"", ""median"", ""iqr""]}",random_forest,tree_ensemble,medium,"{""max_depth"": 16, ""n_estimators"": 300}",0.8,3407,8a3568eb591e
UT_HAR,time_stats__random_forest__medium__frac_1.00,time_stats__random_forest__medium,time_stats,medium,"{""segment_bins"": 2, ""statistics"": [""mean"", ""std"", ""min"", ""max"", ""median"", ""iqr""]}",random_forest,tree_ensemble,medium,"{""max_depth"": 16, ""n_estimators"": 300}",1.0,3407,8a3568eb591e
UT_HAR,time_stats__random_forest__large__frac_0.20,time_stats__random_forest__large,time_stats,large,"{""segment_bins"": 4, ""statistics"": [""mean"", ""std"", ""min"", ""max"", ""median"", ""iqr""]}",random_forest,tree_ensemble,large,"{""max_depth"": null, ""n_estimators"": 600}",0.2,3407,8a3568eb591e
UT_HAR,time_stats__random_forest__large__frac_0.40,time_stats__random_forest__large,time_stats,large,"{""segment_bins"": 4, ""statistics"": [""mean"", ""std"", ""min"", ""max"", ""median"", ""iqr""]}",random_forest,tree_ensemble,large,"{""max_depth"": null, ""n_estimators"": 600}",0.4,3407,8a3568eb591e
UT_HAR,time_stats__random_forest__large__frac_0.60,time_stats__random_forest__large,time_stats,large,"{""segment_bins"": 4, ""statistics"": [""mean"", ""std"", ""min"", ""max"", ""median"", ""iqr""]}",random_forest,tree_ensemble,large,"{""max_depth"": null, ""n_estimators"": 600}",0.6,3407,8a3568eb591e
UT_HAR,time_stats__random_forest__large__frac_0.80,time_stats__random_forest__large,time_stats,large,"{""segment_bins"": 4, ""statistics"": [""mean"", ""std"", ""min"", ""max"", ""median"", ""iqr""]}",random_forest,tree_ensemble,large,"{""max_depth"": null, ""n_estimators"": 600}",0.8,3407,8a3568eb591e
UT_HAR,time_stats__random_forest__large__frac_1.00,time_stats__random_forest__large,time_stats,large,"{""segment_bins"": 4, ""statistics"": [""mean"", ""std"", ""min"", ""max"", ""median"", ""iqr""]}",random_forest,tree_ensemble,large,"{""max_depth"": null, ""n_estimators"": 600}",1.0,3407,8a3568eb591e
UT_HAR,time_stats__extra_trees__small__frac_0.20,time_stats__extra_trees__small,time_stats,small,"{""segment_bins"": 1, ""statistics"": [""mean"", ""std"", ""min"", ""max"", ""median"", ""iqr""]}",extra_trees,tree_ensemble,small,"{""max_depth"": 8, ""n_estimators"": 100}",0.2,3407,8a3568eb591e
UT_HAR,time_stats__extra_trees__small__frac_0.40,time_stats__extra_trees__small,time_stats,small,"{""segment_bins"": 1, ""statistics"": [""mean"", ""std"", ""min"", ""max"", ""median"", ""iqr""]}",extra_trees,tree_ensemble,small,"{""max_depth"": 8, ""n_estimators"": 100}",0.4,3407,8a3568eb591e
UT_HAR,time_stats__extra_trees__small__frac_0.60,time_stats__extra_trees__small,time_stats,small,"{""segment_bins"": 1, ""statistics"": [""mean"", ""std"", ""min"", ""max"", ""median"", ""iqr""]}",extra_trees,tree_ensemble,small,"{""max_depth"": 8, ""n_estimators"": 100}",0.6,3407,8a3568eb591e
UT_HAR,time_stats__extra_trees__small__frac_0.80,time_stats__extra_trees__small,time_stats,small,"{""segment_bins"": 1, ""statistics"": [""mean"", ""std"", ""min"", ""max"", ""median"", ""iqr""]}",extra_trees,tree_ensemble,small,"{""max_depth"": 8, ""n_estimators"": 100}",0.8,3407,8a3568eb591e
UT_HAR,time_stats__extra_trees__small__frac_1.00,time_stats__extra_trees__small,time_stats,small,"{""segment_bins"": 1, ""statistics"": [""mean"", ""std"", ""min"", ""max"", ""median"", ""iqr""]}",extra_trees,tree_ensemble,small,"{""max_depth"": 8, ""n_estimators"": 100}",1.0,3407,8a3568eb591e
UT_HAR,time_stats__extra_trees__medium__frac_0.20,time_stats__extra_trees__medium,time_stats,medium,"{""segment_bins"": 2, ""statistics"": [""mean"", ""std"", ""min"", ""max"", ""median"", ""iqr""]}",extra_trees,tree_ensemble,medium,"{""max_depth"": 16, ""n_estimators"": 300}",0.2,3407,8a3568eb591e
UT_HAR,time_stats__extra_trees__medium__frac_0.40,time_stats__extra_trees__medium,time_stats,medium,"{""segment_bins"": 2, ""statistics"": [""mean"", ""std"", ""min"", ""max"", ""median"", ""iqr""]}",extra_trees,tree_ensemble,medium,"{""max_depth"": 16, ""n_estimators"": 300}",0.4,3407,8a3568eb591e
UT_HAR,time_stats__extra_trees__medium__frac_0.60,time_stats__extra_trees__medium,time_stats,medium,"{""segment_bins"": 2, ""statistics"": [""mean"", ""std"", ""min"", ""max"", ""median"", ""iqr""]}",extra_trees,tree_ensemble,medium,"{""max_depth"": 16, ""n_estimators"": 300}",0.6,3407,8a3568eb591e
UT_HAR,time_stats__extra_trees__medium__frac_0.80,time_stats__extra_trees__medium,time_stats,medium,"{""segment_bins"": 2, ""statistics"": [""mean"", ""std"", ""min"", ""max"", ""median"", ""iqr""]}",extra_trees,tree_ensemble,medium,"{""max_depth"": 16, ""n_estimators"": 300}",0.8,3407,8a3568eb591e
UT_HAR,time_stats__extra_trees__medium__frac_1.00,time_stats__extra_trees__medium,time_stats,medium,"{""segment_bins"": 2, ""statistics"": [""mean"", ""std"", ""min"", ""max"", ""median"", ""iqr""]}",extra_trees,tree_ensemble,medium,"{""max_depth"": 16, ""n_estimators"": 300}",1.0,3407,8a3568eb591e
UT_HAR,time_stats__extra_trees__large__frac_0.20,time_stats__extra_trees__large,time_stats,large,"{""segment_bins"": 4, ""statistics"": [""mean"", ""std"", ""min"", ""max"", ""median"", ""iqr""]}",extra_trees,tree_ensemble,large,"{""max_depth"": null, ""n_estimators"": 600}",0.2,3407,8a3568eb591e
UT_HAR,time_stats__extra_trees__large__frac_0.40,time_stats__extra_trees__large,time_stats,large,"{""segment_bins"": 4, ""statistics"": [""mean"", ""std"", ""min"", ""max"", ""median"", ""iqr""]}",extra_trees,tree_ensemble,large,"{""max_depth"": null, ""n_estimators"": 600}",0.4,3407,8a3568eb591e
UT_HAR,time_stats__extra_trees__large__frac_0.60,time_stats__extra_trees__large,time_stats,large,"{""segment_bins"": 4, ""statistics"": [""mean"", ""std"", ""min"", ""max"", ""median"", ""iqr""]}",extra_trees,tree_ensemble,large,"{""max_depth"": null, ""n_estimators"": 600}",0.6,3407,8a3568eb591e
UT_HAR,time_stats__extra_trees__large__frac_0.80,time_stats__extra_trees__large,time_stats,large,"{""segment_bins"": 4, ""statistics"": [""mean"", ""std"", ""min"", ""max"", ""median"", ""iqr""]}",extra_trees,tree_ensemble,large,"{""max_depth"": null, ""n_estimators"": 600}",0.8,3407,8a3568eb591e
